lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
acme	acme	m. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acmela	acmela	f. | gr.		sem_traducao
acmeodoro	acmeodoro	m. | gr.		sem_traducao
acmócero	acmócero	m. | gr.		sem_traducao
acna	acne	f. | lat.		
acnanto	acananthus	m. | gr.		
acne	acne	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acne-caparrosa	acne-caparrosa	f.		sem_traducao
acne-mentagra	acne-mentagra	f.		sem_traducao
acne-rosácea	acne-rosacea	f.		sem_traducao
acnéfalo	headless	m. | gr.		
acnéphalo	Acnephalo	m. | gr.		sem_traducao
acnisto	acnisto	m. | fam. | gr.		sem_traducao
acnite	Acnite	f. | Med.	termo_tecnico_cientifico:Med.	sem_traducao
aço	steel	suf.		
acoanhar	to accompany	v. t. | Prov. alg.		
açobar	açobar	v. t. | Prov. trasm.		sem_traducao
acobardadamente	cowardly	adv.		
acobardado	cowardly	adj.		
acobardamento	cowardice	m.		
acobardar	to cower	v. t.		
acobertar	cover up	v. t.		
acobilhar	to hide	v. t. | V.		
acobreação	copper plating	f.		
acobreado	coppery	adj.		
acobrear	copper	v. t.		
acocéfalo	acocephalus	m. | gr.		
acocéphalo	acocephalus	m. | gr.		
acochar	tighten	v. | t. | Bras.		
acochichar	whisper	v. t. | prov.		
acóchlidos	acochlids	m. pl. | gr.		
acocho	cushion	m. | Bras.		
acóclidos	acoclids	m. pl. | gr.		
acocoradamente	squatting	adv.		
acocoramento	squatting	m.		
acocoramento	squat	m.		
acocorar	squat	v. t. | as. | V. | p. | ﬁg.		
açodadamente	hastily	adv.		
açodado	hasty	adj.		
açodamento	haste	m.		
açodar	to hasten	v. t.		
açofaifa	steelfaifa	f. | Cf. | vb.		
açôfar	açôfar	m. | Ant.		sem_traducao
açofeifa	açofeifa	f. | ár.		sem_traducao
açofeifeira	steel market	f.		
acognosia	acognosia	f.		sem_traducao
acogombrado	corrugated	adj. | Ant.		
acoguladamente	coguledly	adv.		
acogulado	acogulated	adj.		
acoguladura	acoguladura	f.		sem_traducao
acogular	acogular	v. t.		sem_traducao
açoiabá	açoiabá	m. | Bras.		sem_traducao
acoimador	acoimador	m.		sem_traducao
acoimamento	fine	m.		
acoimar	fine	v. t.		
acoirelado	acoirelado	adj.		sem_traducao
acoirelamento	acoirelamento	m. | Ant.		sem_traducao
acoirelar	acoirelar	v. t.		sem_traducao
acoitadar	to hide	v. t. | Prov. trasm.		
açoitadiço	whipped	adj.		
acoitador	harborer	m.		
acoitadura	acoitadura	f. | Ant.		sem_traducao
acoitamento	shelter	m.		
açoitar	whip	v. t.		
açoitar	lash	v. t.		
açoitar	flog	v. t.		
açoitar	swish	v. t.		
açoitar	thrash	v. t.		
açoitar	leather	v. t.		
açoitar	flap	v. t.		
açoitar	horsewhip	v. t.		
açoitar	trounce	v. t.		
açoitar	swinge	v. t.		
açoitar	quirt	v. t.		
açoite	scourge	m. | fam. | ár.		
açoite	whip	m. | fam. | ár.		
açoite	lash	m. | fam. | ár.		
açoite	quirt	m. | fam. | ár.		
açoite	tawse	m. | fam. | ár.		
açoiteiras	whippers	f. pl. | Bras. | S.		
acoiteza	whip	f. | Ant.		
acoito	shelter	m. | Cf.		
acolá	there	adv. | lat.		
acolá	yonder	adv. | lat.		
acolá	yonder	adv. | lat.		
acolá	yon	adv. | lat.		
acolá	beyond	adv. | lat.		
acolasto	acolasto	m. | gr.		sem_traducao
acólcetra	acólcetra	f. | Ant. | lat.		sem_traducao
acolchetador	quilter	m.		
acolchetamento	cushioning	m.		
acolchetar	cushion	v. t.		
acolchetar	hook	v. t.		
acolchoadeira	quilter	f.		
acolchoadinho	padded	m. | des.		
acolchoador	quilter	m.		
acolchoamento	padding	m.		
acolchoamento	wadding	m.		
acolchoamento	upholstery	m.		
acolchoar	padding	v. t.		
acolchoar	pad	v. t.		
acolchoar	quilt	v. t.		
acolchoar	bolster	v. t.		
acolchoar	stuff	v. t.		
acolchoar	upholster	v. t.		
acoleijos	acoleijos	m. | pop. | Ant. | Cf. | Med.	termo_tecnico_cientifico:Med.	sem_traducao
acolhedor	welcoming	m. e adj.		
acolhedor	cozy	m. e adj.		
acolhedor	inviting	m. e adj.		
acolhedor	hospitable	m. e adj.		
acolhedor	xenial	m. e adj.		
acolhedor	cosy	m. e adj.		
acolheita	harvest	f. | Prov. trasm.		
acolheitar	welcome	v. t. | Cf.		
acolhença	welcoming	f. | des. | Cf. | ed.		
acolher	welcome	v. t.		
acolher	receive	v. t.		
acolher	accept	v. t.		
acolher	shelter	v. t.		
acolher	admit	v. t.		
acolher	entertain	v. t.		
acolher	harbor	v. t.		
acolher	salute	v. t.		
acolherar	welcome	v. t. | Bras. | S.		
acolhida	welcome	f.		
acolhida	reception	f.		
acolhida	refuge	f.		
acolhido	welcomed	adj. | Ant.		
acolhido	welcome	adj. | Ant.		
acolhimento	welcoming	m.		
acolhimento	reception	m.		
acolhimento	welcome	m.		
acolhimento	greeting	m.		
acolhimento	refuge	m.		
acolho	I welcome	m. | Bras.		
acolia	acholia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acolim	acolim	m.		sem_traducao
acolitado *	acolyte *	m.		
acolitar	acolyte	v. t.		
acólito	acolyte	m. | lat.		
acologia	ecology	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acolytado *	acolyte *	m.		
acolytar	acolyte	v. t.		
acólyto	acolyte	m. | lat.		
acomadrar-se	to settle in	v. p.		
acomás	acomás	m.		sem_traducao
acometedor	aggressor	m. e adj.		
acometer	attack	v. t. | v. i.		
acometer	fly at	v. t. | v. i.		
acometida	afflicted	f.		
acometimento	affliction	m.		
acometível	accidentable	adj.		
acomia	acomia	f. | gr.		sem_traducao
acommetedor	escort	m. e adj.		
acommeter	to commit	v. | t. | v. i.		
acommetida	attacked	f.		
acommetimento	commitment	m.		
acommetível	edible	adj.		
acomodação	accommodation	f.		
acomodação	adaptation	f.		
acomodadamente	comfortably	adv.		
acomodadiço	comfortable	adj.		
acomodamento	accommodation	m. | V.		
acomodar	accommodate	v. | t. | lat.		
acomodar	settle	v. | t. | lat.		
acomodar	adapt	v. | t. | lat.		
acomodar	arrange	v. | t. | lat.		
acomodar	berth	v. | t. | lat.		
acomodar	have room for	v. | t. | lat.		
acomodar	compose	v. | t. | lat.		
acomodar	have space for	v. | t. | lat.		
acomodar	contain	v. | t. | lat.		
acomodar	attemper	v. | t. | lat.		
acomodatício	accommodative	adj.		
acomodatício	accommodating	adj.		
acomodatício	supple	adj.		
acomodável	accommodating	adj.		
acômodo	comfortable	adj. | Ant.		
acompadrado	accompanied	m. | des.		
acompadrar	to accompany	v. t.		
acompanhadeira	companion	f.		
acompanhador	companion	m.		
acompanhador	accompanist	m.		
acompanhamento	follow-up	m.		
acompanhamento	accompaniment	m.		
acompanhamento	attendance	m.		
acompanhamento	escort	m.		
acompanhamento	side dish	m.		
acompanhamento	retinue	m.		
acompanhamento	concomitant	m.		
acompanhamento	garnish	m.		
acompanhamento	procession	m.		
acompanhante	companion	adj.		
acompanhante	accompanying	adj.		
acompanhar	to accompany	v. t.		
acompanhar	follow	v. t.		
acompanhar	accompany	v. t.		
acompanhar	keep up with	v. t.		
acompanhar	escort	v. t.		
acompanhar	go along with	v. t.		
acompanhar	go along	v. t.		
acompanhar	take	v. t.		
acompanhar	carry	v. t.		
acompanhar	companion	v. t.		
acompanhar	chaperon	v. t.		
acompanhar	mark	v. t.		
acompanhar	pilot	v. t.		
acompanhar	squire	v. t.		
acompanhar	coddle	v. t.		
acompanhar	walk one up	v. t.		
acompanhar	consort	v. t.		
acompanhar	marshal	v. t.		
acompanhar	see	v. t.		
acompleicionado	accompicicionado	adj.		
acompleiçoado	complexed	adj.		
acomplexionado	complexed	adj.		
acompridar	to lengthen	v. t.		
acômpsia	acompsy	f. | gr.		
aconans	aconans	m. | pl.		sem_traducao
aconapar	aconapar	v. t. | Prov. beir. | as.		sem_traducao
aconchado	snug	adj.		
aconchavar	conspire	v. t. | Cf.		
aconchegado	cozy	adj.		
aconchegado	snug	adj.		
aconchegado	cosy	adj.		
aconchegar	snuggle	v. t. | der. | V.		
aconchegar	bring near	v. t. | der. | V.		
acondicionador	conditioner	m.		
acondicionamento	packaging	m.		
acondicionamento	stowage	m.		
acondicionamento	turn-out	m.		
acondicionar	pack	v. t. | mal.		
acondicionar	condition	v. t. | mal.		
acondicionar	stow	v. t. | mal.		
acondicionar	wrap	v. t. | mal.		
acondicionar	put up	v. t. | mal.		
acondicionável	packable	adj.		
acondiçoar	to condition	v. t.		
acôndilo	condyle	m. | Anat. | gr.	termo_tecnico_cientifico:Anat.	
acondimentar	pack	v. t. | Cf.		
acôndylo	acondylo	m. | Anat. | gr.	termo_tecnico_cientifico:Anat.	sem_traducao
aconeína	aconeine	f.		
aconfeitar	baking	v. t.		
aconfradar	to join	v. t.		
aconhecer	to get to know	v. t.		
aconina	aconine	f.		
aconitato	aconitato	m. | Sal.		sem_traducao
aconitela	aconitella	f.		
aconítico	aconitic	adj.		
aconitina	aconitine	f.		
acónito	aconite	m. | fam. | lat.		
aconselhadamente	advised	adj.		
aconselhador	advisor	m. | lat.		
aconselhar	advise	v. t.		
aconselhar	counsel	v. t.		
aconselhar	recommend	v. t.		
aconselhar	give advice	v. t.		
aconselhar	guide	v. t.		
aconselhar	direct	v. t.		
aconselhar	persuade	v. t.		
aconselhar	rede	v. t.		
aconsoantar	advise	v. t. | Cf.		
acontecedeiro	happening	adj. | freq.		
acontecer	to happen	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	happen	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	occur	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	take place	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	come	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	befall	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	ensue	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	transpire	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	chance	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	become of	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	eventuate	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	betide	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	fare	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	intervene	v. | p. | Ant. | sign. | Cf. | rev.		
acontecer	cut in	v. | p. | Ant. | sign. | Cf. | rev.		
acontecimento	event	m. | Cf.		
acontecimento	happening	m. | Cf.		
acontecimento	occurrence	m. | Cf.		
acontecimento	fact	m. | Cf.		
acontecimento	case	m. | Cf.		
acontecimento	accident	m. | Cf.		
acontecimento	knockout	m. | Cf.		
acontecimento	onrush	m. | Cf.		
acontecimento	page	m. | Cf.		
acontecimento	background	m. | Cf.		
acontecimento	after-clap	m. | Cf.		
acôntia	acontia	f. | gr.		sem_traducao
acontiado	happened	m. | Ant.		
acôntias	acontias	m. pl. | gr.		sem_traducao
acôntio	aconite	m. | gr.		
acontioso	event	adj. | Ant.		
acontista	acontista	m. | gr.		sem_traducao
acontraltado	contraltado	adj. | Mús. | ed.		
ácopo	cup	m. | gr.		
acoposo	acoposo	adj. | Ant.		sem_traducao
açor	Azores	m. | lat.		
açoramento	razing	m.		
acorão	Quran	m. | gr.		
açorar	Azorean	v. t. | Ant. | Açor.		
acorçoar	encourage	v. t. | Cf.		
acorcovar	to hunch over	v. t. | V.		
acorcundado	hunchbacked	adj.		
açorda	açorda	f. | ﬁg. | Gír. | ár.		sem_traducao
acordação	agreement	f. | Ant. | V.		
acordadamente	agreed	adv.		
acordam	wake up	m. | pess. | pl. | ind. | V.		
açordamento	waking	m.		
acordança	agreement	f.		
acordante	agreeing	adj.		
acórdão	judgment	m. | pess. | pl. | ind. | V.		
acordar	to wake up	v. t. | v. i. | V. | p. | des. | lat.		
acordar	wake up	v. t. | v. i. | V. | p. | des. | lat.		
acordar	wake	v. t. | v. i. | V. | p. | des. | lat.		
acordar	awaken	v. t. | v. i. | V. | p. | des. | lat.		
acordar	awake	v. t. | v. i. | V. | p. | des. | lat.		
acordar	waken	v. t. | v. i. | V. | p. | des. | lat.		
acordar	rouse	v. t. | v. i. | V. | p. | des. | lat.		
acorde	chord	m. | Adj.		
acorde	chorda	m. | Adj.		
acordeão	accordion	m.		
acordeão	concertina	m.		
acordemente	accordedly	adv.		
acordina	accordion	f. | as.		
acôrdo	agreement	m.		
acordoar	wake up	v. t. | V.		
açoreanismo	Azoreanism	m.		
açoreanista	Azorean	m.		
açoreano	Azorean	adj. | m.		
açorear	Azores	v. t. | der. | V.		
açoreiro	steelworker	m.		
açorenha	Azorean	f. | Açor.		
açorenho	Azorean	m. e adj. | p. us.		
acôres	Azores	m. pl. | gr.		
acori	acori	m.		sem_traducao
acória	acroria	f. | gr.		
açórico	Azorean	adj.		
acoríneas	acorines	f. pl. | fam.		
acório	acrorium	m.		
açorite	açorite	f. | n. p.		sem_traducao
acormóseo	acormoseum	adj. | gr.		
acornar	acornar	v. t.		sem_traducao
ácoro	acorus	m. | lat.		
acoroçoadamente	courageously	adv.		
acoroçoado	encouraged	adj.		
acoroçoador	encouraging	adj.		
acoroçoamento	encouragement	m.		
acoroçoar	encourage	v. t.		
acorredor	corridor	adj. | Cf.		
acorreitar	to harness	v. i. | Prov. trasm.		
acorrentamento	chaining	m.		
acorrentar	chain	v. t. | v. i. | Prov. trasm.		
acorrentar	fetter	v. t. | v. i. | Prov. trasm.		
acorrentar	enchain	v. t. | v. i. | Prov. trasm.		
acorrentar	chain up	v. t. | v. i. | Prov. trasm.		
acorrentar	enfetter	v. t. | v. i. | Prov. trasm.		
acorrentar	gyve	v. t. | v. i. | Prov. trasm.		
acorrer	run	v. i. | lat.		
acorrilhar	tether	v. t.		
acorrimento	runoff	m. | Ant.		
acorro	agreement	m.		
acortinamento	curtaining	m.		
acortinar	curtain	v. t.		
acoruchado	coruchado	adj.		
acosmia	acosmia	f. | gr.		sem_traducao
acosmo	acosmos	m. | gr.		
acossa	harass	f. | pop.		
acossadamente	harassed	adv.		
acossado	harassed	adj.		
acossamento	harassment	m.		
acossar	harass	v. t.		
acossar	corner	v. t.		
acossar	bedevil	v. t.		
acossar	persuade	v. t.		
acostadamente	leaning against	adv.		
acostado	leaning against	adj. | Ant. | m. | Cf. | Prov. alg.		
acostamento	shoulder	m. | Cf.		
acostamento	coasting	m. | Cf.		
acostamento	bracket	m. | Cf.		
acostamento	support	m. | Cf.		
acostar	pull over	v. t. | v. i. | Prov. trasm. | Ant.		
acostar	board	v. t. | v. i. | Prov. trasm. | Ant.		
acostar	accost	v. t. | v. i. | Prov. trasm. | Ant.		
acostar	lean against	v. t. | v. i. | Prov. trasm. | Ant.		
acostável	dockable	adj. | as.		
acostumadamente	accustomed	adv.		
acostumado	accustomed	adj.		
acostumado	used to	adj.		
acostumado	wont	adj.		
acostumar	get used to	v. t.		
acostumar	accustom	v. t.		
acostumar	familiarize	v. t.		
acostumar	inure	v. t.		
açoteia	rooftop	f. | Prov. alg. | Cp. | Ant. | ár.		
acothurnado	acothurnado	adj.		sem_traducao
acotiar	to whip	v. t.		
acotibóia	acotibóia	f.		sem_traducao
acoticar	acoticar	v. t.		sem_traducao
acotiledóneas	acotyledons	f. pl.		
acotiledóneo	acotyledon	adj.		
acotilédono	acotyledon	adj.		
acotoar	to whip	v. t.		
acotovelado	elbowed	adj. | Cf. | f.		
acotovelador	elbow	m.		
acotovelamento	elbowing	m.		
acotovelar	elbow	v. t.		
acotovelar	nudge	v. t.		
acotovelar	jostle	v. t.		
acotovelar	poke	v. t.		
acotovelar	hunch	v. t.		
acotovelar	hustle	v. t.		
acotovelar	crush	v. t.		
acoturnado	booted	adj.		
acotyledóneas	acotyledons	f. pl.		
acotyledóneo	acotyledon	adj.		
acotylédono	acotyledon	adj.		
açougada	butcher shop	f.		
açougagem	butcher shop	f. | Cf. | port. | des.		
açougaria	butcher shop	f.		
açougue	butcher's	m. | Ant. | Cf. | port. | Agr. | p. | ár. | as.		
açougue	butcher shop	m. | Ant. | Cf. | port. | Agr. | p. | ár. | as.		
açougue	butchery	m. | Ant. | Cf. | port. | Agr. | p. | ár. | as.		
açougue	slaughterhouse	m. | Ant. | Cf. | port. | Agr. | p. | ár. | as.		
açougue	shambles	m. | Ant. | Cf. | port. | Agr. | p. | ár. | as.		
açougueiro	butcher	m. | Bras.		
acourôa	acourôa	f.		sem_traducao
açoutador	butcher	m. e adj.		
açoutadura	whipping	f. | p. us.		
açoutar	to whip	v. t.		
açoute	whip	m. | fam. | ár.		
acovar	cower	v. t.		
acovilhar	to cuddle	v. t.		
acquiescência	acquiescence	f.		
acquiescêr	acquiesce	v. t. | lat.		
acquirente	acquirer	adj.		
acquirição	acquisition	f. | Ant.		
acquiridor	buyer	m.		
acquirimento	acquisition	m. | Ant.		
acquirir	acquire	v. t. | Ant.		
acquiritivo	acquiritive	adj.		
acquisição	acquisition	f.		
acquísito	acquisition	adj. | Cf. | lat.		
acquistar	buy	v. t. | Ant.		
acquisto	purchase	m. | des. | contr. | lat.		
acracia	acracy	f. | neol. | gr.		
acradênia	acradenia	f.		sem_traducao
acrania	acrania	f. | Cp.		sem_traducao
acranianos	acranial	m. pl. | Zool.	termo_tecnico_cientifico:Zool.	
acrânio	skull	Adj.		
acraniota	acraniota	m. e adj.		sem_traducao
acrantera	acrantera	f. | gr.		sem_traducao
acranthera	acranthera	f. | gr.		sem_traducao
acrantho	acranto	m. | gr.		
acranto	acranto	m. | gr.		sem_traducao
acrasia	akrasia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acrata	acrat	m. | neol.		
acratera	crater	f. | gr.		
acrathera	acrathera	f. | gr.		sem_traducao
acrático	acratic	adj. | neol.		
acratóforo	acratophore	m. | gr.		
acratóphoro	acratophorus	m. | gr.		
acratópoto	akratopus	adj. | des. | gr. | lat.		
acravar	nail	v. | t. | ﬁg.		
acre	acre	m. | al.		sem_traducao
acre	acrid	m. | al.		
acre	sour	m. | al.		
acre	pungent	m. | al.		
acre	bitter	m. | al.		
acre	acid	m. | al.		
acre	tart	m. | al.		
acre	harsh	m. | al.		
acre	poignant	m. | al.		
acre	vinegary	m. | al.		
acre	mordacious	m. | al.		
acre	acre	adj. | lat.		sem_traducao
acre	acrid	adj. | lat.		
acre	sour	adj. | lat.		
acre	pungent	adj. | lat.		
acre	bitter	adj. | lat.		
acre	acid	adj. | lat.		
acre	tart	adj. | lat.		
acre	harsh	adj. | lat.		
acre	poignant	adj. | lat.		
acre	vinegary	adj. | lat.		
acre	mordacious	adj. | lat.		
acre-doce	bittersweet	m. e adj.		
acreditador	accreditor	m.		
acreditar	to believe	v. t. | v. i.		
acreditar	believe	v. t. | v. i.		
acreditar	think	v. t. | v. i.		
acreditar	accredit	v. t. | v. i.		
acreditar	credit	v. t. | v. i.		
acreditar	consider	v. t. | v. i.		
acreditar	deem	v. t. | v. i.		
acreditar	come to believe	v. t. | v. i.		
acreditar	take in	v. t. | v. i.		
acreditar	guarantee	v. t. | v. i.		
acreditar	trow	v. t. | v. i.		
acreditável	believable	adj.		
acreditável	credible	adj.		
acredor	creditor	m.		
acrejo	I believe	m. | Ant.		
acremente	increase	adv.		
acremente	acidly	adv.		
acremente	poignantly	adv.		
acrescentada	added	adj. | f. | prov.		
acrescentador	adder	m. e adj.		
acrescentamento	addition	m.		
acrescentamento	enlargement	m.		
acrescentar	add	v. t.		
acrescentar	append	v. t.		
acrescentar	increase	v. t.		
acrescentar	augment	v. t.		
acrescentar	tack	v. t.		
acrescentar	subjoin	v. t.		
acrescentar	affix	v. t.		
acrescentar	throw out	v. t.		
acrescentar	implement	v. t.		
acrescentar	eke	v. t.		
acrescente	add	m. | pop.		
acrescento	addition	m. | Cf.		
acrescer	add	v. i. | v. t. | lat.		
acrescido	added	m. | port.		
acrescimento	increase	m.		
acréscimo	addition	m.		
acréscimo	increase	m.		
acréscimo	extra	m.		
acréscimo	rise	m.		
acréscimo	accrual	m.		
acréscimo	augmentation	m.		
acréscimo	accession	m.		
acréscimo	prolongation	m.		
acréscimo	affix	m.		
acriançado	childish	adj.		
acriançado	infantile	adj.		
acriançar-se	to become a child	v. | p.		
acribologia	acribology	f. | gr.		
acribólogo	acribologist	m.		
acribómetro	stopwatch	m. | gr.		
acridão	acridity	f.		
acridez	acridity	f.		
acrídia	acridia	f. | gr.		sem_traducao
acridiano	Acridian	adj. | m. | pl.		
acrídio	acrididium	adj. | m. | pl.		
acridocarpo	acridocarpo	m. | gr.		sem_traducao
acridófago	acridophagous	m. | gr.		
acridogenose	acridogenosis	f. | gr.		
acridóphago	acridophagous	m. | gr.		
acridótero	acridotero	m. | gr.		sem_traducao
acrífico	acrylic	adj. | des. | Cf. | Anat.	termo_tecnico_cientifico:Anat.	
acrimancia	acrimancy	f. | Cf.		
acriminar	to discriminate	v. t.		
acrimónia	acrimony	f. | lat.		
acrimoniar	acrimonize	v. t.		
acrimonioso	acrimonious	adj.		
acrinia	acrinia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acrisolado	refined	adj.		
acrisolador	refractor	m.		
acrisolamento	refinement	m. | Cf. | f.		
acrisolar	acrisolar	v. t.		sem_traducao
ácritos	acrites	m. pl. | gr.		
acritude	acrititude	f.		
acrivar	acrivar	v. t. | prov.		sem_traducao
acro	acro	adj.		sem_traducao
acróama	acroama	m. | gr.		sem_traducao
acroamático	acroamatic	adj. | gr.		
acroás	acroás	m. pl.		sem_traducao
acroático	acroatic	adj. | lat.		
acrobacia	stunt	f.		
acrobacia	acrobatics	f.		
acróbata	acrobat	m. | gr.		
acrobaticão	acrobatics	m. | gr.		
acrobático	acrobatic	adj.		
acrobatismo	acrobatics	m. | ﬁg. | Cf.		
acrobustite	acrobustite	f. | gr.		sem_traducao
acrocarpo	acrocarp	m. | gr.		
acrocefalia	acrocephaly	f.		
acrocéfalo	acrocephalus	adj. | gr.		
acrocephalia	acrocephaly	f.		
acrocéphalo	acrocephalus	adj. | gr.		
acrochado	acrochado	adj. | Prov. trasm.		sem_traducao
acrochar-se	to crouch	v. p. | Prov. trasm.		
acrocheta	crochet	gr.		
acrochirismo	acrochirismo	m. | gr.		sem_traducao
acrocino	acrocino	m. | gr.		sem_traducao
acroclado	acroclad	m.		
acrocómia	acrocomy	f.		
acrócomo	acromo	m. | gr.		
acrocórdio	acrocord	m. | gr.		
acrodinia	acrodynia	f. | gr.		
acrodynia	acrodynia	f. | gr.		sem_traducao
acrofobia	acrophobia	f. | gr.		
acróforo	acrophorus	m. | ár. | gr.		
acrogênias	acrogenias	f. pl. | gr.		sem_traducao
acroleato	acroleate	m. | Sal.		
acroleico	acroleic	adj.		
acroleína	acrolein	f.		
acrolínio	acrolin	m.		
acrólitho	acrolith	m. | gr.		
acrólito	acrolite	m. | gr.		
acrólofo	acrolophe	m. | gr.		
acrologia	acrology	f. | gr.		
acrológico	acrological	adj.		
acrólopho	acropolis	m. | gr.		
acromania	acromania	f. | gr.		sem_traducao
acromasia	achromasia	f. | gr.		
acromático	achromatic	adj. | as. | gr.		
acromatina	achromatin	f. | qual. | gr.		
acromatismo	achromatism	m.		
acromatizaçao	achromatization	f.		
acromatizar	achromatize	v. t. | as.		
acromatopsía	achromatopsia	f. | as. | gr.		
acromatóptico	achromatopptic	adj.		
acromegalia	acromegaly	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acromelalgia	acromelalgia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acromia	achromia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acromial	acromial	adj.		sem_traducao
acrómio	acromio	m. | lat.		sem_traducao
acromo	achrome	adj. | gr.		
acromodermia	acromoderma	f.		
acromolena	acromolena	f. | gr.		sem_traducao
acromphálio	acromphalius	m. | Anat. | gr.	termo_tecnico_cientifico:Anat.	
acroneurose	acroneurosis	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acronfálio	acronym	m. | Anat. | gr.	termo_tecnico_cientifico:Anat.	
acrónico	acronym	adj. | gr.		
ácrono	achronous	m.		
acrónyco	acronym	adj. | gr.		
acropathia	acropathia	f. | gr.		sem_traducao
acropatia	acropathy	f. | gr.		
acrophobia	acrophobia	f. | gr.		sem_traducao
acróphoro	acrophorus	m. | ár. | gr.		
acropódio	acropodium	m. | lat.		
acrópole	acropolis	f. | gr.		
acropólio	acropoly	m. | Ant.		
acropostite	acroposthitis	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acroquetas	acroquetas	gr.		sem_traducao
acroquirismo	acroquirismo	m. | gr.		sem_traducao
acrosofia	acrosophia	f. | gr.		
acrosophia	acrosophia	f. | gr.		sem_traducao
acrospermo	acrosperm	m. | gr.		
acróstico	acrostic	m. | gr.		
acrostólio	acrostolium	m. | gr.		
acrotério	acroterion	m. | lat.		
acroteriose	acroteriosis	f.		
acrotismo	acrotism	m. | Cp. | lat.		
acrotóforo	acrotophore	m. | gr.		
acrotomia	acrotomy	f. | Cir. | gr.	termo_tecnico_cientifico:Cir.	
acrótomo	acrotome	adj. | Miner. | gr.	termo_tecnico_cientifico:Miner.	
acrotóphoro	acrotophorus	m. | gr.		
acta	minutes	f. | lat.		
acteáceas	Actaaceae	f. pl. | lat.		
acteão	action	m.		
actébia	Actebia	f. | gr.		sem_traducao
actéfila	actéfila	f. | gr.		sem_traducao
acteia	Acteia	f. | gr.		sem_traducao
actenista	Actenist	f. | gr.		
acteografia	actography	f. | gr.		
acteómetro	actometer	m. | as. | gr.		
actéphila	actéphila	f. | gr.		sem_traducao
áctia	lactia	f. | gr.		
actigeia	Actigea	f. | gr.		
actinanta	actinanta	f. | gr.		sem_traducao
actinantha	actinantha	f. | gr.		sem_traducao
actineia	actinia	f. | fam. | rad. | gr.		
actinéria	Actineria	f. | fam. | rad. | gr.		sem_traducao
actínia	actinia	f. | gr.		sem_traducao
actínia	sea anemone	f. | gr.		
actinianos	Actinians	m. pl.		
actínico	actinic	adj. | Cp.		
actinimorfo	actinimorph	adj. | gr.		
actinimorpho	actinimorpho	adj. | gr.		sem_traducao
actínio	actinium	m.		
actinismo	actinism	m. | gr.		
actino	actin	m. | gr.		
actinobolismo	actinobolism	m.		
actinóbolo	actinobolus	m.		
actinocarpo	actinocarp	m. | gr.		
actinocéfalo	actinocephalus	m.		
actinocéphalo	actinocephalus	m.		
actinodafno	actinodaphno	m.		
actinodaphno	actinodaphno	m.		sem_traducao
actinodendro	actinodendron	m.		
actinodermo	actinoderm	m. | gr.		
actínodo	actinode	m.		
actinóforo	actinophore	m. | gr.		
actinogênico	actinogenic	adj. | Cf. | gr.		
actinoide	actinoid	adj.		
actinólitho	actinolith	m. | Miner. | gr.	termo_tecnico_cientifico:Miner.	
actinólito	actinolite	m. | Miner. | gr.	termo_tecnico_cientifico:Miner.	
actinologia	actinology	f. | gr.		
actinológico	actinological	adj.		
actinomancía	actinomancy	f. | gr.		
actinometria	actinometry	f.		
actinómetro	actinometer	m. | gr.		
actinomiceto	actinomycete	m. | gr.		
actinomicose	actinomycosis	f. | Med.	termo_tecnico_cientifico:Med.	
actinomórfico	actinomorph	adj. | Bot. | gr.	termo_tecnico_cientifico:Bot.	
actinomórphico	actinomorphic	adj. | Bot. | gr.	termo_tecnico_cientifico:Bot.	
actinomyceto	actinomycetes	m. | gr.		
actinomycose	actinomycosis	f. | Med.	termo_tecnico_cientifico:Med.	
actinóphoro	actinophore	m. | gr.		
actinospira	Actinospira	f.		sem_traducao
actinóstemo	actinostemus	m.		
actinóstomo	actinostome	adj. | gr.		
